Iteration;Dist_previous;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Mean_depth;True_elevation
1785;21.3725992805962;2213.71613998847;723799.64;6816553.94;0;0;0;0;1;0
1785;20.4527015324179;2234.16884152089;723789.91;6816571.93;0;0;0;0;1;0
1785;30.4103617211798;2264.57920324207;723783.56;6816601.67;0;0;0;0;1;0
1785;27.7915166915115;2292.37071993358;723782.76;6816629.45;0;0;0;0;1;0
1785;25.631886391197;2318.00260632478;723786.2;6816654.85;0;0;0;0;1;0
1785;28.9736777093338;2346.97628403411;723790.96;6816683.43;0;0;0;0;1;0
1785;31.4742053117944;2378.45048934591;723799.96;6816713.59;0;0;0;0;1;0
1785;19.9473933138749;2398.39788265978;723807.37;6816732.11;0;0;0;0;1;0
1785;28.5053486205719;2426.90323128035;723822.19;6816756.46;0;0;0;0;1;0
1785;27.2941184140878;2454.19734969444;723837.27;6816779.21;0;0;0;0;1;0
1785;31.1302361057348;2485.32758580017;723853.67;6816805.67;0;0;0;0;1;0
1785;28.1046988956046;2513.43228469578;723872.46;6816826.57;0;0;0;0;1;0
1785;21.9240165114731;2535.35630120725;723888.86;6816841.12;0;0;0;0;1;0
1785;20.2333314112018;2555.58963261845;723906.85;6816850.38;0;0;0;0;1;0
1785;32.9518254426562;2588.54145806111;723939.13;6816857;0;0;0;0;1;0
1785;33.6092859191994;2622.15074398031;723972.73;6816857.79;0;0;0;0;1;0
1785;34.7611579209357;2656.91190190125;724007.39;6816860.44;0;0;0;0;1;0
1785;22.8843396233207;2679.79624152457;724029.88;6816864.67;0;0;0;0;1;0
1785;19.6944357623881;2699.49067728695;724049.46;6816866.79;0;0;0;0;1;0
1785;18.1690340964309;2717.65971138339;724067.19;6816870.76;0;0;0;0;1;0
1785;17.3295960715509;2734.98930745494;724084.12;6816874.46;0;0;0;0;1;0
1785;14.569643097959;2749.55895055289;724098.68;6816873.93;0;0;0;0;1;0
1785;16.4240616169008;2765.9830121698;724114.55;6816869.7;0;0;0;0;1;0
1785;13.0758173739044;2779.0588295437;724122.22;6816859.11;0;0;0;0;1;0
1785;12.4373992458392;2791.49622878954;724133.07;6816853.03;0;0;0;0;1;0
1785;21.1766333490728;2812.67286213861;724154.24;6816853.56;0;0;0;0;1;0
1785;33.4488460190957;2846.12170815771;724187.31;6816858.58;0;0;0;0;1;0
1785;32.9281460150607;2879.04985417277;724219.33;6816866.26;0;0;0;0;1;0
1785;29.388041786;2908.43789595877;724240.76;6816886.37;0;0;0;0;1;0
1785;32.1817339494348;2940.6196299082;724255.04;6816915.21;0;0;0;0;1;0
1785;23.8158980511001;2964.4355279593;724255.57;6816939.02;0;0;0;0;1;0
1785;22.4814278908632;2986.91695585017;724245.52;6816959.13;0;0;0;0;1;0
1785;30.5602748682554;3017.47723071842;724222.5;6816979.23;0;0;0;0;1;0
1785;44.7384946102503;3062.21572532867;724182.02;6816998.28;0;0;0;0;1;0
1785;51.6621641047376;3113.87788943341;724134.66;6817018.92;0;0;0;0;1;0
1785;65.6369659569139;3179.51485539032;724071.69;6817037.44;0;0;0;0;1;0
1785;66.5762697960774;3246.0911251864;724010.83;6817064.43;0;0;0;0;1;0
1785;38.7621684122629;3284.85329359866;723978.02;6817085.07;0;0;0;0;1;0
1785;27.305407889323;3312.15870148799;723955.8;6817100.94;0;0;0;0;1;0
1785;37.4259001225661;3349.58460161055;723935.16;6817132.16;0;0;0;0;1;0
1785;58.0937896855152;3407.67839129607;723906.06;6817182.44;0;0;0;0;1;0
1785;59.9521225644685;3467.63051386054;723884.89;6817238.53;0;0;0;0;1;0
1785;56.5980017308536;3524.22851559139;723871.66;6817293.56;0;0;0;0;1;0
1785;23.767559824266;3547.99607541566;723864.78;6817316.31;0;0;0;0;1;0
1785;28.3143020404842;3576.31037745614;723868.92;6817344.32;0;0;0;0;1;0
1785;60.3732871393756;3636.68366459551;723869.55;6817404.69;0;0;0;0;1;0
