Iteration;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Max_height;Width;Max_depth
10;27679.2;18000.5;93398.8;0;-0.00048461;-0.186922;0.904792;132.26;1200;50
10;28241.6;18401;93793.6;0;-1.10027e-005;-1.02356;0.904792;132.26;1200;50
10;28685.3;18799.7;93598.8;0;-0.00012635;-0.203946;0.904792;132.26;1200;50
10;29085.7;19200.1;93599.4;0;-0.00031523;-0.103543;0.904792;132.26;1200;50
10;29533.1;19601.1;93797.8;0;-0.000361952;-0.391741;0.904792;132.26;1200;50
10;29981.1;20003;93995.9;0;0.000117663;-0.805289;0.904792;132.26;1200;50
10;30547.4;20400.3;94399.3;0;0.000645557;-0.132979;0.904792;132.26;1200;50
10;30948.2;20801.1;94404.7;0;0.000490073;0.761429;0.904792;132.26;1200;50
10;31396.5;21202.4;94204.7;0;0.000398981;0.842679;0.904792;132.26;1200;50
10;31840.6;21600;94007;0;-0.000375133;1.12071;0.904792;132.26;1200;50
10;32284;21999.8;94198.8;0;-0.000390155;-0.176715;0.904792;132.26;1200;50
10;32851;22400;93797.2;0;-0.000709649;-0.448401;0.904792;132.26;1200;50
10;33418.7;22805.8;94194.1;0;-0.000388186;-1.31135;0.904792;132.26;1200;50
10;33984.4;23203.4;94596.6;0;-0.000201;-0.764982;0.904792;132.26;1200;50
10;34549.4;23602.3;94996.8;0;0.000305158;-0.622199;0.904792;132.26;1200;50
10;34996.1;23999.3;95201.5;0;0.000266094;0.24946;0.904792;132.26;1200;50
10;35443.7;24399.6;95401.8;0;0.000440237;0.296698;0.904792;132.26;1200;50
10;35843.1;24799;95404.2;0;0.000265643;0.679417;0.904792;132.26;1200;50
10;36290.6;25200;95602.7;0;0.000387804;0.427852;0.904792;132.26;1200;50
10;36738;25600.9;95404;0;0.00026356;0.65303;0.904792;132.26;1200;50
10;37137.1;26000;95403.2;0;0.000262493;0.503943;0.904792;132.26;1200;50
10;37538.7;26401.6;95403.9;0;-0.000128228;0.665827;0.904792;132.26;1200;50
10;38105.8;26800.2;95000.4;0;-0.000586118;0.0714734;0.904792;132.26;1200;50
